gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
22040,6/30/2019,2019,2,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2019Q2,2019Q2,,108.361,25.248,542.431,480.595,-5.369,53.013,7.008,14,A,1149.5414,45.53,45103010
22040,9/30/2019,2019,3,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2019Q3,2019Q3,,113.306,25.261,561.447,495.478,-12.307,55.065,7.434,14,A,880.5985,34.86,45103010
22040,12/31/2019,2019,4,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2019Q4,2019Q4,,175.024,25.25,740.629,628.861,-19.865,66.066,8.548,14,A,901.6775,35.71,45103010
22040,3/31/2020,2020,1,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2020Q1,2020Q1,,98.688,25.305,691.62,680.693,-20.081,68.032,9.118,14,A,678.6801,26.82,45103010
22040,6/30/2020,2020,2,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2020Q2,2020Q2,,87.91,25.366,683.609,671.802,-14.159,71.315,10.294,14,A,881.7222,34.76,45103010
22040,9/30/2020,2020,3,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2020Q3,2020Q3,,232.972,29.461,816.807,668.648,-11.31,74.184,9.967,14,A,1110.6797,37.7,45103010
22040,12/31/2020,2020,4,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2020Q4,2020Q4,,250.029,29.987,833.444,663.573,-5.669,78.247,9.623,14,A,1376.1034,45.89,45103010
22040,3/31/2021,2021,1,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2021Q1,2021Q1,,186.672,30.092,844.155,754.435,-20.684,73.969,10.94,14,A,1420.0415,47.19,45103010
22040,6/30/2021,2021,2,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2021Q2,2021Q2,,176.539,30.413,836.725,774.934,-19.042,76.264,11.113,14,A,1252.1032,41.17,45103010
22040,9/30/2021,2021,3,12,INDL,C,D,STD,UPLD,UPLAND SOFTWARE INC,USD,2021Q3,2021Q3,,179.584,30.516,830.654,752.985,-11.015,76.053,10.441,14,A,1020.455,33.44,45103010
22182,3/31/2019,2018,4,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2019Q1,2018Q4,,234.356,58.106,758.3,55.367,-16.839,132.097,32.112,11,A,5735.0622,98.7,45103010
22182,6/30/2019,2019,1,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2019Q2,2019Q1,,228.14,58.395,837.461,54.927,-15.169,141.01,34.339,11,A,5051.7515,86.51,45103010
22182,9/30/2019,2019,2,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2019Q3,2019Q2,,242.407,58.776,851.828,54.487,-18.614,145.815,34.132,11,A,3611.7852,61.45,45103010
22182,12/31/2019,2019,3,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2019Q4,2019Q3,,178.997,59.14,857.297,59.171,-27.195,153.028,38.387,11,A,3886.0894,65.71,45103010
22182,3/31/2020,2019,4,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2020Q1,2019Q4,,292.523,59.838,876.746,58.803,-27.959,159.657,41.301,11,A,2766.9091,46.24,45103010
22182,6/30/2020,2020,1,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2020Q2,2020Q1,,256.879,60.242,889.37,57.527,-29.756,162.585,40.844,11,A,4150.6738,68.9,45103010
22182,9/30/2020,2020,2,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2020Q3,2020Q2,,276.843,60.967,887.571,56.251,-47.551,166.054,44.628,11,A,3436.1001,56.36,45103010
22182,12/31/2020,2020,3,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2020Q4,2020Q3,,211.145,63.051,939.098,158.915,-53.626,166.34,45.773,11,A,4123.5354,65.4,45103010
22182,3/31/2021,2020,4,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2021Q1,2020Q4,,240.821,63.759,926.668,157.239,-61.677,172.669,43.606,11,A,3919.9033,61.48,45103010
22182,6/30/2021,2021,1,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2021Q2,2021Q1,,259.897,64.706,911.358,185.287,-78.414,180.484,48.73,11,A,4333.3608,66.97,45103010
22182,9/30/2021,2021,2,3,INDL,C,D,STD,NEWR,NEW RELIC INC,USD,2021Q3,2021Q2,,231.918,65.379,906.498,183.61,-53.769,195.694,51.368,11,A,4692.2508,71.77,45103010
22864,3/31/2019,2019,1,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2019Q1,2019Q1,,,,,,,,,14,A,,1.66,45103010
22864,6/30/2019,2019,2,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2019Q2,2019Q2,,0.529,,-10.056,6.845,-1.505,0.03,0,14,A,,1.42,45103010
22864,9/30/2019,2019,3,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2019Q3,2019Q3,,0.159,,7.836,6.853,0.396,0.58,0,14,A,,0.95,45103010
22864,12/31/2019,2019,4,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2019Q4,2019Q4,,0.435,11.716,8.035,6.737,-0.116,0.396,0,14,A,,0.82,45103010
22864,3/31/2020,2020,1,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2020Q1,2020Q1,,,,,,1.068,1.392,0,14,A,,0.5779,45103010
22864,6/30/2020,2020,2,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2020Q2,2020Q2,,0.388,,11.263,8.48,-1.373,0,0,14,A,,2.3,45103010
22864,9/30/2020,2020,3,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2020Q3,2020Q3,,,,,,,,,14,A,,2.18,45103010
22864,12/31/2020,2020,4,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2020Q4,2020Q4,,0.175,8.273,10.253,8.49,-1.346,0.09,0,14,A,,3.05,45103010
22864,3/31/2021,2021,1,12,INDL,C,D,STD,MFH,MERCURITY FNTCH HLD INC -ADR,USD,2021Q1,2021Q1,,0.287,,10.244,8.496,-4.554,0.081,0,14,A,,6.7,45103010
23071,3/31/2019,2019,1,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2019Q1,2019Q1,,1090.3,175.115,3432.3,4128.2,12.9,710,124,11,A,13166.8969,75.19,45102030
23071,6/30/2019,2019,2,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2019Q2,2019Q2,,1198.8,176.727,3478.7,4118.9,-12.6,737.2,127.2,11,A,12397.3991,70.15,45102030
23071,9/30/2019,2019,3,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2019Q3,2019Q3,,966.7,171.422,3247,4040.8,76.2,760.5,116.4,11,A,11310.4236,65.98,45102030
23071,12/31/2019,2019,4,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2019Q4,2019Q4,,1062.8,172.867,3351.8,4074.2,60.5,780.4,125,11,A,11741.1266,67.92,45102030
23071,3/31/2020,2020,1,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2020Q1,2020Q1,,851.4,167.627,3050.8,4146.5,42.9,792,134.5,11,A,9573.178,57.11,45102030
23071,6/30/2020,2020,2,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2020Q2,2020Q2,,772.7,166.751,2294.9,4181,-673.2,806.4,135.9,11,A,12227.8508,73.33,45102030
23071,9/30/2020,2020,3,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2020Q3,2020Q3,,621.8,167.813,3107.3,4476,64.7,844.4,141.4,11,A,12748.7536,75.97,45102030
23071,12/31/2020,2020,4,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2020Q4,2020Q4,,765.2,169.157,3245,4530.2,70.5,873.9,148.6,11,A,14031.5732,82.95,45102030
23071,3/31/2021,2021,1,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2021Q1,2021Q1,,1293.1,168.445,3963.9,4758.8,10.8,901.1,186.4,11,A,13074.7009,77.62,45102030
23071,6/30/2021,2021,2,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2021Q2,2021Q2,,1375.2,168.72,3991.3,4767.6,46.8,931.3,172,11,A,14671.8912,86.96,45102030
23071,9/30/2021,2021,3,12,INDL,C,D,STD,GDDY,GODADDY INC,USD,2021Q3,2021Q3,,1143.4,166.121,3910.9,4909.3,97.5,964,172.4,11,A,11578.6337,69.7,45102030
23226,3/31/2019,2019,1,12,INDL,C,D,STD,INUV,INUVO INC,USD,2019Q1,2019Q1,,0.248,32.567,11.661,18.958,-2.462,15.465,,12,A,40.3831,1.24,45103010
23226,6/30/2019,2019,2,12,INDL,C,D,STD,INUV,INUVO INC,USD,2019Q2,2019Q2,,0.995,32.615,9.543,18.619,-1.955,14.047,,12,A,13.6983,0.42,45103010
23226,9/30/2019,2019,3,12,INDL,C,D,STD,INUV,INUVO INC,USD,2019Q3,2019Q3,,0.714,48.959,12.809,20.858,0.788,13.79,,12,A,13.2189,0.27,45103010
23226,12/31/2019,2019,4,12,INDL,C,D,STD,INUV,INUVO INC,USD,2019Q4,2019Q4,,0.373,51.846,12.937,20.305,-0.859,18.223,,12,A,15.3309,0.2957,45103010
23226,3/31/2020,2020,1,12,INDL,C,D,STD,INUV,INUVO INC,USD,2020Q1,2020Q1,,0.471,60.353,12.068,19.838,-2.825,14.933,,12,A,14.2674,0.2364,45103010
23226,6/30/2020,2020,2,12,INDL,C,D,STD,INUV,INUVO INC,USD,2020Q2,2020Q2,,4.181,75.776,19.826,19.372,-1.36,7.59,,12,A,40.472,0.5341,45103010
23226,9/30/2020,2020,3,12,INDL,C,D,STD,INUV,INUVO INC,USD,2020Q3,2020Q3,,9.528,97.545,27.735,18.906,-2.405,9.215,,12,A,35.6527,0.3655,45103010
23226,12/31/2020,2020,4,12,INDL,C,D,STD,INUV,INUVO INC,USD,2020Q4,2020Q4,,7.891,98.036,25.921,18.439,-0.715,12.902,,12,A,44.4005,0.4529,45103010
23226,3/31/2021,2021,1,12,INDL,C,D,STD,INUV,INUVO INC,USD,2021Q1,2021Q1,,17.805,118.518,37.137,17.973,-2.147,10.618,,12,A,120.8884,1.02,45103010
23226,6/30/2021,2021,2,12,INDL,C,D,STD,INUV,INUVO INC,USD,2021Q2,2021Q2,,17.346,118.518,35.241,17.506,-2.382,12.635,,12,A,114.3817,0.9651,45103010
23226,9/30/2021,2021,3,12,INDL,C,D,STD,INUV,INUVO INC,USD,2021Q3,2021Q3,,11.702,118.747,33.894,17.04,-1.831,16.841,,12,A,83.111,0.6999,45103010
23546,3/31/2019,2019,1,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2019Q1,2019Q1,,206.3,140.675,2381.6,2129.2,11.2,203.7,7.8,11,A,7216.6275,51.3,45103010
23546,6/30/2019,2019,2,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2019Q2,2019Q2,,237.9,141.942,2452.6,2132.7,6.3,196.3,8.1,11,A,7125.4884,50.2,45103010
23546,9/30/2019,2019,3,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2019Q3,2019Q3,,270.9,143.835,2544.2,2142.9,62.7,202.3,8.7,11,A,7101.134,49.37,45103010
23546,12/31/2019,2019,4,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2019Q4,2019Q4,,281.3,144.387,2578.7,2151.4,-1.5,221.8,9.5,11,A,9800.9896,67.88,45103010
23546,3/31/2020,2020,1,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2020Q1,2020Q1,,255.3,144.938,2583.4,2116,8.6,222.7,8.1,11,A,7257.0457,50.07,45103010
23546,6/30/2020,2020,2,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2020Q2,2020Q2,,526.9,146.804,2978.5,2200,5.5,192.6,7.6,11,A,11637.1531,79.27,45103010
23546,9/30/2020,2020,3,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2020Q3,2020Q3,,554.6,147.647,3027.6,2208.6,-0.8,204.4,9.4,11,A,12203.0246,82.65,45103010
23546,12/31/2020,2020,4,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2020Q4,2020Q4,,188.2,148.571,2792.4,2226.8,-17.3,222.8,14.5,11,A,15831.7258,106.56,45103010
23546,3/31/2021,2021,1,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2021Q1,2021Q1,,339.6,148.913,3315.5,2622.7,-19.2,234.5,15.2,11,A,12548.8985,84.27,45103010
23546,6/30/2021,2021,2,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2021Q2,2021Q2,,335.2,149.752,3359.7,2670.7,-25.8,250.4,18.8,11,A,14364.2118,95.92,45103010
23546,9/30/2021,2021,3,12,INDL,C,D,STD,CDAY,CERIDIAN HCM HOLDING,USD,2021Q3,2021Q3,,378.8,151.165,3380.1,2650.5,-20.9,257.2,22.2,11,A,17024.2023,112.62,45103010
23650,3/31/2019,2019,1,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2019Q1,2019Q1,,410.446,111.483,2226.781,67.828,-24.151,320.482,76.355,11,A,23034.6175,206.62,45102030
23650,6/30/2019,2019,2,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2019Q2,2019Q2,,668.99,112.531,2270.057,73.689,-28.678,361.979,85.52,11,A,33776.1797,300.15,45102030
23650,9/30/2019,2019,3,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2019Q3,2019Q3,,1124.529,115.343,2925.654,73.134,-72.784,390.552,90.387,11,A,35947.7994,311.66,45102030
23650,12/31/2019,2019,4,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2019Q4,2019Q4,12.133,649.916,116.429,3158.375,479.147,0.771,505.16,102.753,11,A,46289.8418,397.58,45102030
23650,3/31/2020,2020,1,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2020Q1,2020Q1,,969.363,117.225,3172.56,470.869,-31.429,470.001,116.396,11,A,48874.6193,416.93,45102030
23650,6/30/2020,2020,2,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2020Q2,2020Q2,,1882.362,120.095,4771.067,463.119,35.998,714.341,133.227,11,A,113994.174,949.2,45102030
23650,9/30/2020,2020,3,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2020Q3,2020Q3,,3089.884,121.912,7068.82,455.79,191.068,767.405,143.427,11,A,124712.3186,1022.97,45102030
23650,12/31/2020,2020,4,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2020Q4,2020Q4,2,2703.597,122.529,7303.567,447.541,123.872,977.744,159.077,11,A,138696.7016,1131.95,45102030
23650,3/31/2021,2021,1,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2021Q1,2021Q1,,2785.571,124.327,10204.994,441.557,1258.445,988.647,175.886,11,A,137567.8255,1106.5,45102030
23650,6/30/2021,2021,2,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2021Q2,2021Q2,,2364.67,124.764,11181.497,436.068,879.093,1119.445,183.557,11,A,182277.7087,1460.98,45102030
23650,9/30/2021,2021,3,12,INDL,C,D,STD,SHOP,SHOPIFY INC,USD,2021Q3,2021Q3,,2189.613,125.575,12454.843,491.361,1148.432,1123.74,221.028,11,A,170252.0735,1355.78,45102030
24071,3/31/2019,2019,1,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2019Q1,2019Q1,22.396,16.783,33.97,162.409,106.536,3.725,57.091,8.481,14,A,2697.218,79.4,45103010
24071,6/30/2019,2019,2,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2019Q2,2019Q2,24.658,19.514,34.038,184.265,107.179,23.151,63.624,9.339,14,A,3481.0663,102.27,45103010
24071,9/30/2019,2019,3,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2019Q3,2019Q3,27.621,20.121,34.058,191.542,108.691,4.978,67.935,10.602,14,A,3240.2781,95.14,45103010
24071,12/31/2019,2019,4,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2019Q4,2019Q4,30.023,15.813,34.146,212.637,109.825,4.428,67.362,11.086,14,A,3754.3527,109.95,45103010
24071,3/31/2020,2020,1,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2020Q1,2020Q1,32.587,56.779,34.206,254.778,111.133,1.983,72.495,11.212,14,A,3795.1557,110.95,45103010
24071,6/30/2020,2020,2,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2020Q2,2020Q2,35.218,53.315,34.291,273.044,112.554,19.257,81.043,12.128,14,A,5579.4886,162.71,45103010
24071,9/30/2020,2020,3,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2020Q3,2020Q3,33.543,144.028,34.313,317.271,107.234,137.676,84.086,13.454,14,A,4865.9265,141.81,45103010
24071,12/31/2020,2020,4,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2020Q4,2020Q4,35.459,140.263,34.388,326.066,107.963,-0.513,72.432,11.735,14,A,6191.2155,180.04,45103010
24071,3/31/2021,2021,1,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2021Q1,2021Q1,37.554,44.744,34.453,325.382,108.871,0.479,78.921,14.383,14,A,4871.9987,141.41,45103010
24071,6/30/2021,2021,2,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2021Q2,2021Q2,39.225,48.61,34.61,341.203,109.389,2.021,89.04,15.506,14,A,4886.932,141.2,45103010
24071,9/30/2021,2021,3,12,INDL,C,D,STD,APPF,APPFOLIO INC,USD,2021Q3,2021Q3,40.711,84.444,34.644,348.258,109.722,-0.141,95.809,16.5,14,A,4171.1376,120.4,45103010
24083,3/31/2019,2019,1,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2019Q1,2019Q1,,,,,,7.325,74.614,7.573,14,A,,,45103010
24083,6/30/2019,2019,2,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2019Q2,2019Q2,,,,,,7.122,78.375,7.205,14,A,,,45103010
24083,9/30/2019,2019,3,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2019Q3,2019Q3,,,,,,11.899,82.439,7.271,14,A,,,45103010
24083,12/31/2019,2019,4,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2019Q4,2019Q4,32.075,75.903,120.417,-111.75,32.075,4.711,86.072,8.508,14,A,,,45103010
24083,3/31/2020,2020,1,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2020Q1,2020Q1,33.225,40.416,120.417,15.925,53.456,-29.064,89.245,13.079,14,A,,,45103010
24083,6/30/2020,2020,2,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2020Q2,2020Q2,33.761,47.295,142.994,-127.626,53.116,-29.075,91.271,13.617,14,A,,,45103010
24083,9/30/2020,2020,3,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2020Q3,2020Q3,32.619,270.271,146.105,218.89,51.286,-21.028,94.605,16.501,14,A,3360.415,23,45103010
24083,12/31/2020,2020,4,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2020Q4,2020Q4,31.989,303.051,146.444,225.711,50.7,0.23,99.544,11.143,14,A,5103.5734,34.85,45103010
24083,3/31/2021,2021,1,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2021Q1,2021Q1,34.642,277.681,147.089,253.581,56.195,2.288,98.236,11.459,14,A,3233.0162,21.98,45103010
24083,6/30/2021,2021,2,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2021Q2,2021Q2,34.364,101.593,147.845,254.904,254.715,0.808,104.938,11.926,14,A,3243.7193,21.94,45103010
24083,9/30/2021,2021,3,12,INDL,C,D,STD,VERX,VERTEX INC,USD,2021Q3,2021Q3,34.018,47.481,148.591,251.252,311.942,-3.948,110.718,9.879,14,A,2855.919,19.22,45103010
24097,3/31/2019,2019,1,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2019Q1,2019Q1,,0.004,2871.747,-2.288,0,-0.277,0,,19,A,1.4359,0.0005,45103010
24097,6/30/2019,2019,2,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2019Q2,2019Q2,,0.033,3412.504,-2.51,0,-0.469,0,0.092,19,A,17.0625,0.005,45103010
24097,9/30/2019,2019,3,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2019Q3,2019Q3,,0.078,3466.81,-3.552,0,-1.757,0,0.223,19,A,41.9484,0.0121,45103010
24097,12/31/2019,2019,4,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2019Q4,2019Q4,,0.031,3504.461,-4.329,0,-0.888,0,,19,A,40.3013,0.0115,45103010
24097,3/31/2020,2020,1,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2020Q1,2020Q1,,0.041,3509.113,-3.122,0,0.842,0,0.15,19,A,10.1764,0.0029,45103010
24097,6/30/2020,2020,2,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2020Q2,2020Q2,,0.016,4120.475,-2.441,0,-1.05,0,0.173,19,A,17.718,0.0043,45103010
24097,9/30/2020,2020,3,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2020Q3,2020Q3,,0.153,4120.475,-3.911,0,-2.728,0.001,0.314,19,A,34.1999,0.0083,45103010
24097,12/31/2020,2020,4,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2020Q4,2020Q4,,0.114,4120.475,-3.828,0,0.142,0,0.378,19,A,25.959,0.0063,45103010
24097,3/31/2021,2021,1,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2021Q1,2021Q1,,0.092,4243.606,-5.786,0,-2.686,0,0.201,19,A,53.0451,0.0125,45103010
24097,6/30/2021,2021,2,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2021Q2,2021Q2,,0.121,4485.747,-6.28,0,1.251,0,0.383,19,A,36.7831,0.0082,45103010
24097,9/30/2021,2021,3,12,INDL,C,D,STD,TTCM,TAUTACHROME INC,USD,2021Q3,2021Q3,,0.332,4561.079,-4.565,0,-3.28,0,0.229,19,A,27.3665,0.006,45103010
24135,3/31/2019,2019,1,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2019Q1,2019Q1,,122.442,48.249,394.801,141.451,9.01,112.335,26.496,14,A,3131.3601,64.9,45103010
24135,6/30/2019,2019,2,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2019Q2,2019Q2,,150.851,48.481,412.931,137.972,13.796,121.66,28.418,14,A,2593.7335,53.5,45103010
24135,9/30/2019,2019,3,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2019Q3,2019Q3,,164.323,48.572,435.457,134.493,17.69,127.88,29.461,14,A,2265.3981,46.64,45103010
24135,12/31/2019,2019,4,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2019Q4,2019Q4,,119.629,48.701,467.06,210.301,13.035,140.488,30.068,14,A,2092.682,42.97,45103010
24135,3/31/2020,2020,1,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2020Q1,2020Q1,,171.732,48.66,530.454,206.183,8.807,151.939,39.73,14,A,1893.3606,38.91,45103010
24135,6/30/2020,2020,2,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2020Q2,2020Q2,,205.827,48.924,554.455,203.464,16.995,141.637,36.636,14,A,3170.7644,64.81,45103010
24135,9/30/2020,2020,3,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2020Q3,2020Q3,,247.176,49.109,599.032,199.246,36.084,158.851,36.914,14,A,2713.2723,55.25,45103010
24135,12/31/2020,2020,4,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2020Q4,2020Q4,,253.459,49.484,626.14,218.297,15.967,165.576,38.867,14,A,5119.1198,103.45,45103010
24135,3/31/2021,2021,1,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2021Q1,2021Q1,,642.172,49.657,1007.648,214.536,14.83,172.498,42.467,14,A,4289.3717,86.38,45103010
24135,6/30/2021,2021,2,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2021Q2,2021Q2,,662.682,49.894,1035.421,209.438,14.745,188.857,43.491,14,A,4226.0218,84.7,45103010
24135,9/30/2021,2021,3,12,INDL,C,D,STD,ALRM,ALARM.COM HOLDINGS INC,USD,2021Q3,2021Q3,,700.307,50.027,1062.497,205.077,13.538,192.324,44.143,14,A,3911.6111,78.19,45103010
24352,2/28/2019,2019,1,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2019Q1,2019Q1,,106.516,44.474,414.744,365.307,9.402,89.549,19.89,14,A,1635.7537,36.78,45103020
24352,5/31/2019,2019,2,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2019Q2,2019Q2,,103.249,44.723,606.541,583.53,8.181,99.995,21.688,14,A,1831.8541,40.96,45103020
24352,8/31/2019,2019,3,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2019Q3,2019Q3,,124.02,44.786,620.574,568.979,13.557,106.716,23.126,14,A,1692.0151,37.78,45103020
24352,11/30/2019,2019,4,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2019Q4,2019Q4,,154.259,45.036,614.284,532.216,-4.74,117.038,23.868,14,A,1891.9624,42.01,45103020
24352,2/29/2020,2020,1,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2020Q1,2020Q1,,161.094,44.769,629.388,526.404,21.116,109.683,21.654,14,A,1669.436,37.29,45103020
24352,5/31/2020,2020,2,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2020Q2,2020Q2,,193.222,45.033,636.619,519.643,16.968,100.383,21.787,14,A,1819.3332,40.4,45103020
24352,8/31/2020,2020,3,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2020Q3,2020Q3,,220.575,45.102,658.869,513.798,23.977,109.699,20.676,14,A,1708.9148,37.89,45103020
24352,11/30/2020,2020,4,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2020Q4,2020Q4,,97.99,44.241,737.239,704.473,17.661,122.385,24.482,14,A,1774.0641,40.1,45103020
24352,2/28/2021,2021,1,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2021Q1,2021Q1,,107.698,44,723.653,694.048,18.961,121.28,24.548,14,A,1871.76,42.54,45103020
24352,5/31/2021,2021,2,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2021Q2,2021Q2,,357.36,43.745,935.042,682.499,13.557,122.488,26.415,14,A,1949.7147,44.57,45103020
24352,8/31/2021,2021,3,11,INDL,C,D,STD,PRGS,PROGRESS SOFTWARE CORP,USD,2021Q3,2021Q3,,379.895,43.843,959.441,670.602,30.976,147.417,25.616,14,A,2041.3301,46.56,45103020
24475,3/31/2019,2019,1,12,INDL,C,D,STD,ISGN,ISIGN SOLUTIONS INC,USD,2019Q1,2019Q1,,0.28,5.76,-4.837,0,-0.291,0.199,0.171,19,A,2.1888,0.38,45103010
