gvkey,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,Ticker,Company Name,curcdq,datacqtr,datafqtr,Capitalized Software,Cash,Common Share Outstanding,Invested Capital - Total - Quarterly,Intangible Assets - Total,Net Income (Loss),Revenue - Total,Research and Development Expense,exchg,costat,Market Value - Total,Price Close - Quarter,GIC Sub-Industries
64901,9/30/2021,2021,4,9,INDL,C,D,STD,MMS,MAXIMUS INC,USD,2021Q3,2021Q4,42.868,135.061,61.954,3031.237,2696.442,52.014,1106.131,,11,A,5154.5728,83.2,45102020
65021,3/31/2019,2018,4,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2019Q1,2018Q4,,276.583,96.12,465.535,51.374,-28.131,93.767,18.064,11,A,1941.624,20.2,45103010
65021,6/30/2019,2019,1,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2019Q2,2019Q1,,269.025,96.571,461.399,49.528,-34.265,96.675,18.331,11,A,2327.3611,24.1,45103010
65021,9/30/2019,2019,2,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2019Q3,2019Q2,,162.219,99.809,536.53,160.289,-40.932,109.517,19.434,11,A,2068.0425,20.72,45103010
65021,12/31/2019,2019,3,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2019Q4,2019Q3,,184.794,100.785,593.142,157.455,-47.071,118.567,19.87,11,A,1844.3655,18.3,45103010
65021,3/31/2020,2019,4,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2020Q1,2019Q4,,137.394,103.179,574.72,152.301,-50.1,121.478,20.155,11,A,1430.0609,13.86,45103010
65021,6/30/2020,2020,1,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2020Q2,2020Q1,,116.69,103.867,562.412,150.753,-41.913,121.807,21.494,11,A,1661.872,16,45103010
65021,9/30/2020,2020,2,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2020Q3,2020Q2,,121.848,105.986,561.774,150.111,-38.413,129.133,21.567,11,A,1648.0823,15.55,45103010
65021,12/31/2020,2020,3,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2020Q4,2020Q3,,106.877,107.136,556.893,150.493,-40.225,136.685,23.702,11,A,3692.9779,34.47,45103010
65021,3/31/2021,2020,4,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2021Q1,2020Q4,,112.531,109.135,551.395,148.65,-45.034,144.719,25.271,11,A,3540.3394,32.44,45103010
65021,6/30/2021,2021,1,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2021Q2,2021Q1,,109.288,110.697,549.027,147.444,-43.906,148.327,25.392,11,A,3072.9487,27.76,45103010
65021,9/30/2021,2021,2,3,INDL,C,D,STD,EGHT,8X8 INC,USD,2021Q3,2021Q2,,102.989,113.416,546.998,145.449,-42.324,151.557,28.498,11,A,2652.8002,23.39,45103010
65226,1/31/2019,2018,4,1,INDL,C,D,STD,QADA,QAD INC,USD,2018Q4,2018Q4,1.598,139.413,19.627,146.083,15.254,4.936,82.706,13.319,14,A,791.3745,42.16,45103010
65226,4/30/2019,2019,1,1,INDL,C,D,STD,QADA,QAD INC,USD,2019Q1,2019Q1,1.664,150.99,19.637,154.194,15.151,-3.234,78.035,13.987,14,A,874.9513,46.87,45103010
65226,7/31/2019,2019,2,1,INDL,C,D,STD,QADA,QAD INC,USD,2019Q2,2019Q2,1.72,141.768,19.81,142.508,15.198,-13.25,76.378,13.87,14,A,821.5391,43.14,45103010
