gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datacqtr,datafqtr,atq,revtq,saleq,costat,busdesc,gsubind
4384,3/31/2019,2019,1,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2019Q1,2019Q1,4.662,0.231,0.231,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,6/30/2019,2019,2,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2019Q2,2019Q2,4.143,0.355,0.355,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,9/30/2019,2019,3,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2019Q3,2019Q3,7.68,0.322,0.322,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,12/31/2019,2019,4,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2019Q4,2019Q4,6.62,0.277,0.277,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,3/31/2020,2020,1,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2020Q1,2020Q1,5.668,0.592,0.592,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,6/30/2020,2020,2,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2020Q2,2020Q2,10.717,0.287,0.287,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,9/30/2020,2020,3,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2020Q3,2020Q3,37.529,0.835,0.835,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,12/31/2020,2020,4,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2020Q4,2020Q4,313.251,2.643,2.643,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,3/31/2021,2021,1,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2021Q1,2021Q1,686.686,9.153,9.153,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,6/30/2021,2021,2,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2021Q2,2021Q2,583.864,29.322,29.322,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
4384,9/30/2021,2021,3,INDL,C,D,STD,MARA,MARATHON DIGITAL HOLDNGS INC,USD,2021Q3,2021Q3,664.341,51.707,51.707,A,"Marathon Digital Holdings, Inc. operates as a digital asset technology company that mines cryptocurrencies with a focus on the blockchain ecosystem and the generation of digital assets in United States. The company was formerly known as Marathon Patent Group, Inc.",45103010
6013,3/31/2019,2019,1,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2019Q1,2019Q1,33.934,6.966,6.966,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,6/30/2019,2019,2,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2019Q2,2019Q2,35.912,7.512,7.512,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
6013,9/30/2019,2019,3,INDL,C,D,STD,INS,INTELLIGENT SYSTEM CORP,USD,2019Q3,2019Q3,39.53,9.522,9.522,A,"Intelligent Systems Corporation, through its subsidiary, CoreCard Software, Inc., provides technology solutions and processing services to the financial technology and services market in the United States and European Union.",45103010
